lipids,pvalues
DHHexosylceramide C26:1,0.970878311
DHHexosylceramide C26,0.436612123
Sphingomyelin C16 ,0.299909491
Sphingomyelin C18,0.302319999
Sphingomyelin C20,0.490706793
Sphingomyelin C22,0.452150321
Sphingomyelin C24:1,0.449448802
Sphingomyelin C24,0.4493186
Sphingomyelin C26:1,0.37894506
Sphingomyelin C26,0.44288545
DHSphingomyelin C16 ,0.210025658
DHSphingomyelin C18,0.341501057
DHSphingomyelin C20,0.010409718
DHSphingomyelin C22,0.220110604
DHSphingomyelin C24:1,0.411150063
DHSphingomyelin C24,0.347829069
DHSphingomyelin C26:1,0.015382259
DHSphingomyelin C26,0.318487141
Cholesterol,0.013969096
Desmosterol,0.354131717
Lanosterol,0.709192191
7-dehydro-cholesterol,0.76811855
22R-hydroxy-cholesterol,0.211346803
24-25-epoxy-cholesterol,0.668478612
25-hydroxy-cholesterol,0.88042186
27-hydroxy-cholesterol,0.629020632
4b-hydroxy-cholesterol,0.733701008
6a-hydroxy-cholestanol,0.982471425
7-oxo-cholesterol,0.459851748
7a-hydroxy-cholesterol,0.181210075
Cholestenone,0.957322033
