"fatty acids [FA]"	"LION:0000001"
"fatty acid with 1 double bond"	"LION:0002969"
"fatty acid with 2 double bonds"	"LION:0002970"
"fatty acid with 3 double bonds"	"LION:0002971"
"fatty acid with 4 double bonds"	"LION:0002972"
"fatty acid with 5 double bonds"	"LION:0002973"
"fatty acid with 6 double bonds"	"LION:0002974"
"fatty acid with 7 double bonds"	"LION:0002975"
"fatty acid with more than 3 double bonds"	"LION:0002976"
"fatty acid with 3-5 double bonds"	"LION:0002977"
"fatty acid with more than 5 double bonds"	"LION:0002978"
"fatty acid with 12 carbons"	"LION:0002980"
"lipid-mediated signalling"	"LION:0012009"
"isoprenoids [PR01]"	"LION:0012012"
"C5 isoprenoids (hemiterpenes) [PR0101]"	"LION:0012013"
"C10 isoprenoids (monoterpenes) [PR0102]"	"LION:0012014"
"C15 isoprenoids (sesquiterpenes) [PR0103]"	"LION:0012015"
"C20 isoprenoids (diterpenes) [PR0104]"	"LION:0012016"
"C25 isoprenoids (sesterterpenes) [PR0105]"	"LION:0012019"
"C30 isoprenoids (triterpenes) [PR0106]"	"LION:0012020"
"C40 isoprenoids (tetraterpenes) [PR0107]"	"LION:0012021"
"polyterpenes [PR0108]"	"LION:0012022"
"retinoids [PR0109]"	"LION:0012023"
"quinones and hydroquinones [PR02]"	"LION:0012024"
"ubiquinones [PR0201]"	"LION:0012025"
"vitamin E [PR0202]"	"LION:0012026"
"vitamin K [PR0203]"	"LION:0012027"
"polyprenols [PR03]"	"LION:0012028"
"bactoprenols [PR0301]"	"LION:0012029"
"bactoprenol monophosphates [PR0302]"	"LION:0012030"
"bactoprenol diphosphates [PR0303]"	"LION:0012035"
"phytoprenols [PR0304]"	"LION:0012036"
"phytoprenol monophosphates [PR0305]"	"LION:0012037"
"phytoprenol diphosphates [PR0306]"	"LION:0012038"
"dolichols [PR0307]"	"LION:0012039"
"dolichol monophosphates [PR0308]"	"LION:0012040"
"dolichol diphosphates [PR0309]"	"LION:0012041"
"hopanoids [PR04]"	"LION:0012042"
"other prenol lipids [PR00]"	"LION:0012043"
"all-trans-retinoic acid"	"LION:0012050"
"all-trans-retinyl esters"	"LION:0012056"
"d18:1 (sphingosine)"	"LION:0080947"
"d18:0 (dihydrosphingosine)"	"LION:0080948"
"very low area compressibility"	"LION:0080952"
"low area compressibility"	"LION:0080953"
"average area compressibility"	"LION:0080954"
"high area compressibility"	"LION:0080955"
"very high area compressibility"	"LION:0080956"
"below average area compressibility"	"LION:0080957"
"above average area compressibility"	"LION:0080958"
"very low area per lipid"	"LION:0080960"
"low area per lipid"	"LION:0080961"
"average area per lipid"	"LION:0080962"
"high area per lipid"	"LION:0080963"
"very high area per lipid"	"LION:0080964"
"below average area per lipid"	"LION:0080965"
"above average area per lipid"	"LION:0080966"
"very low bilayer thickness"	"LION:0080968"
"low bilayer thickness"	"LION:0080969"
"average bilayer thickness"	"LION:0080970"
"high bilayer thickness"	"LION:0080971"
"very high bilayer thickness"	"LION:0080972"
"below average bilayer thickness"	"LION:0080973"
"above average bilayer thickness"	"LION:0080974"
"very low lateral diffusion"	"LION:0080976"
"low lateral diffusion"	"LION:0080977"
"average lateral diffusion"	"LION:0080978"
"high lateral diffusion"	"LION:0080979"
"very high lateral diffusion"	"LION:0080980"
"below average lateral diffusion"	"LION:0080981"
"above average lateral diffusion"	"LION:0080982"
"very low tail order parameter"	"LION:0080984"
"low tail order parameter"	"LION:0080985"
"average tail order parameter"	"LION:0080986"
"high tail order parameter"	"LION:0080987"
"very high tail order parameter"	"LION:0080988"
"below average tail order parameter"	"LION:0080989"
"above average tail order parameter"	"LION:0080990"
