"lipids","pvalues"
"SM(d18:1/24:1)",0.841
"SM(d18:1/24:0)",0.8186
"SM(d18:1/26:1)",0.8431
"SM(d18:1/26:0)",0.907
"SM(d18:0/16:0)",0.9868
"SM(d18:0/18:0)",0.8164
"SM(d18:0/20:0)",0.7962
"SM(d18:0/22:0)",0.9769
"SM(d18:0/24:1)",0.9838
"SM(d18:0/24:0)",0.9859
"SM(d18:0/26:1)",0.8657
"SM(d18:0/26:0)",0.2091
"cholesterol",0.9984
"desmosterol",0.9987
"lanosterol",0.1581
"7-dehydro-cholesterol",0.826
"22R-hydroxy-cholesterol",0.9035
"24,25-epoxy-cholesterol",0.0042
"25-hydroxy-cholesterol",0.0653
"27-hydroxy-cholesterol",0.0321
"4b-hydroxy-cholesterol",0.9856
"6a-hydroxy-cholestanol",0.7558
"7-oxo-cholesterol",0.4837
"7a-hydroxy-cholesterol",0.8146
"cholestenone",0.6765
